"Map","System","plotOrd","Region","Latitude","Longitude","K","L50","TL","Depth","DepthCV","Chla","ChlaCV","SBT","SBTrange","TAI","Trawl","cpue","cpueSD","richness","shannon","evenness","z.value","z.value.l","z.value.u","synchrony","avcvpe","avcvpe.l","avcvpe.u","mvpe","mvpe.l","mvpe.u"
4,"Greenland west",51,"Arctic",61.832,-50,0.1955973,46.69789,3.955452,204.5,0.0808,0.08478868,1.515239564,4.379788618,0.487570204,10.788661,-2.24669637376414,138103.147058824,128698.724079789,15.5588235294118,1.39587908637559,0.508817078878191,2.07403479698108,1.86561401598447,2.28245557797768,0.346763284149732,1.33486400526341,1.0069227541738,2.55686859833654,1.44267466486282,0.853353630746748,2.43897736371701
40,"Southeast Adriatic",15,"Mediterranean",41.008,18,0.3588123,18.031,3.630983,91.4843,0.4214,-0.91853779,0.773397305,13.71441667,-0.538710827,12.119377,-1.06225625170746,4854.40061758947,2844.67598480084,40.6842105263158,2.38249108192844,0.642886595335159,2.08951014132505,1.92266805569902,2.25635222695107,0.275560127332978,1.70162093463325,0.872226202560384,2.45939512794519,1.92845028846816,1.24324296705904,2.99130629621837
41,"Western Ionian",14,"Mediterranean",39.007,17,0.3153601,16.54014,3.668622,83.33,0.5232,-1.36247575,0.671342857,14.56883333,-0.035627178,10.488178,-1.28631147904912,422028.909353888,496890.278499602,52.5,2.5987272502937,0.683013818878075,2.06042973474504,2.02438256680774,2.09647690268234,0.119924392326186,2.64292878300919,2.4497829603696,3.13158200064556,3.13777741773181,2.77556938749869,3.54725310329946
42,"Central south Tyrrhenian",13,"Mediterranean",39.772,14.25,0.3077612,22.55865,3.773972,97.5832,0.498,-0.813688581,2.023724919,14.01277778,-0.686723417,10.716364,-1.2191913545765,8698.5011201619,2804.05564395007,33.5238095238095,2.1677158446581,0.617477254058072,2.00526939387573,1.79662751030281,2.21391127744865,0.123687364458103,3.2075933241559,2.55112265221236,5.28557082148768,2.76864094070935,1.60974181634374,4.76186465478208
43,"Northeast Adriatic",12,"Mediterranean",44.019,13.5,0.3477235,18.02561,3.823296,69.23,0.6531,0.233960811,1.214965504,13.58066667,1.198155919,11.800232,0.285261645580564,4462.856,1738.43017445837,39.2,2.21286974851056,0.602972092823672,1.97772709695527,1.83257614771547,2.12287804619508,0.200828042568914,2.3738398764949,2.01504937946913,3.23526323705726,1.99897736588811,1.30430581844471,3.06363005732645
44,"Strait of Sicily",11,"Mediterranean",37.007,13,0.3272068,20.66495,3.791818,89.2,0.4847,-1.50393195,0.658930643,14.91255556,0.217393717,11.429768,-0.284103151104502,196124.269635995,212580.201988072,55.5555555555556,3.09494253966892,0.792742621725696,2.0444360701484,1.9902944485617,2.09857769173509,0.128120818099077,2.69798724532058,2.40235623962293,3.17913220601855,2.98838120124932,2.54870302316754,3.50390850672024
45,"North Tyrrhenian",10,"Mediterranean",41.508,11,0.2887957,22.04077,4.010919,100,0.589,-1.281583215,0.822558089,13.846125,-0.59602047,10.370513,-0.661342358820314,11113.9095238095,7119.08711724367,45.1904761904762,2.33387661915822,0.612320530668946,2.20669500855644,1.95167006717745,2.46171994993543,0.271292605235353,1.49024693976105,0.541905752523617,2.4660458858102,2.04431536057285,1.03239671968775,4.04808075595021
46,"Corsica",9,"Mediterranean",42.262,9.5,0.3071931,14.87663,3.615358,94.52,0.2589,-1.344742932,0.677104333,13.49883333,-0.031490667,11.09343,-0.423677450577832,317648.908178876,451401.355814995,36.0555555555556,2.48117814421694,0.728273918191137,2.04161045330618,2.00439053085737,2.07883037575498,0.166278365575518,2.36845082926322,1.98053358442933,3.07064070551893,2.64134513691637,2.35116853730718,2.96733476210186
47,"Ligurian Sea",8,"Mediterranean",43.755,9.25,0.3396892,19.1231,3.820404,85,0.562,-0.926911081,0.833616947,13.40179167,-0.192371893,10.647105,-0.879141875072202,13303.2761904762,4365.15322662387,47,2.43007241314407,0.63112888248003,2.01896004062308,1.83983940333867,2.19808067790749,0.159378049791803,2.17030568989387,1.14749742716309,3.61405226816378,2.03581744639554,1.24801626807797,3.32091237995746
48,"Sardinia",7,"Mediterranean",39.772,9.25,0.3146233,17.61766,3.755403,92.16,0.5329,-1.431277669,0.816471986,13.82117424,-0.359536176,9.106949,-1.64829309240278,522110.59350378,1158170.86100887,68.421052631579,3.02450869385733,0.73391233879431,2.14710470563131,2.0990989860046,2.19511042525802,0.386815427973835,1.38017664207001,1.14469278451917,1.78627868437515,2.09711052506504,1.81064729059813,2.42889522281602
49,"Gulf of Lion",6,"Mediterranean",42.755,4.25,0.3707309,17.88028,3.752534,79.76,0.3617,-0.499087814,0.763126676,13.34695833,0.000499875,10.691411,-1.39449590199801,486511.563725961,757519.820519839,58.1052631578947,2.93783026718492,0.75048796919769,2.15245844513971,2.11590519589637,2.18901169438306,0.193917626545203,2.00796817515758,1.76096276297454,2.26055904003167,3.11680291898787,2.78219733089349,3.49165040449937
5,"Flemish Cap",50,"West Atlantic",47.521,-45,0.1598986,41.2443,3.757361,165,0.1094,-0.218080419,1.012470217,4.002048611,-0.077421147,11.081532,-0.384150389304661,38321.6095621847,41834.6639264949,7.81818181818182,1.05395243591936,0.51129344442976,2.24119839165964,1.83337262864357,2.6490241546757,0.384882034057455,1.14765764425282,0.736005158633508,2.39545727580192,1.49686894201102,0.677627699415975,3.30655997605808
50,"Balearic Islands",5,"Mediterranean",39.754,3,0.2941777,18.87001,3.657829,99.2297,0.3954,-1.412476029,0.726804267,13.33495238,-0.34430281,9.163872,-0.88721991275468,12450.0756985229,4841.88310440989,45.6428571428571,2.71037991987022,0.709538781403476,1.70667991718982,1.59496102693006,1.81839880744959,0.247012805359525,2.92557219768575,2.21576725569946,4.38729684516297,0.906133969727748,0.623173440999945,1.31757664411542
51,"Catalan coast",4,"Mediterranean",41.754,2.25,0.4898512,17.31205,3.944525,93.9389,0.4085,-0.829432916,0.804037612,13.19491667,-0.466808738,9.319807,-1.58606812561158,89671.551481685,63942.2970239888,44.85,1.52491517493916,0.401052713875658,1.85243543852122,1.66162776904678,2.04324310799566,0.392995180428292,1.72812961548598,1.18774786000109,3.26857433745009,0.815475795646135,0.427838399008948,1.55432699548501
52,"Centre Mediterranean Iberian",3,"Mediterranean",39.86,0.75,0.4483823,18.15565,3.948648,84.5146,0.3559,-0.865094246,0.93959173,13.33880556,0.193646083,11.443466,-1.0291263387643,20304.0737894579,28102.8573103205,33.15,1.75816263388016,0.501506231674678,1.89524885923402,1.73386942753492,2.05662829093313,0.721652562390515,0.854392419796674,0.476195965670595,2.30084984414505,0.540735831848483,0.32694754709154,0.894318499851004
53,"South Mediterranean Iberian",2,"Mediterranean",38.102,0.25,0.4489278,21.89672,3.911738,97.3007,0.4438,-1.281657825,0.731690477,13.8053125,-0.310609577,10.387985,-1.07347392178241,21893.2888290071,25096.4584442149,34.4,1.90559415217723,0.538786596265558,1.96735612687729,1.80682252119488,2.1278897325597,0.518211617334063,1.20289489806089,0.835444644564574,2.2285597753414,0.990880721442567,0.619081035547932,1.58597105669298
54,"Alboran Sea",1,"Mediterranean",36.254,-3,0.4272686,23.02794,3.756302,88.1733,0.4748,-0.610362657,0.912846959,14.66279167,0.120002792,10.637272,-0.840807634210482,23988.3130054464,32195.2404916729,27.6315789473684,1.95932437691899,0.590143284896084,2.0670782641959,1.88547934751339,2.24867718087841,0.417561658439313,0.924576664340354,0.443904953495696,2.59601692840063,0.965045987074937,0.595570335161066,1.56373429330992
6,"Southern Gulf Saint Lawrence",49,"West Atlantic",47.265,-62.5,0.2177523,35.26673,3.919315,82.78,0.8434,1.330818577,1.141192997,0.374291667,0.092123289,11.159427,-0.125554152721696,6100.152328862,851.78065475618,27.7142857142857,1.44287324372343,0.434202982246723,1.80548892137801,1.66209943518368,1.94887840757233,0.187388367735887,4.89058047328706,4.4518154466272,5.82388690540565,2.42499127829598,1.52269466379459,3.86195790898551
7,"Newfoundland",48,"West Atlantic",47.084,-52,0.1900169,30.98939,3.810198,184.82,0.8693,-0.106039544,1.240379433,0.882224359,-0.739916312,11.253937,-0.156821075495451,61412.9569079814,22423.7533076862,52.4,1.98218455681624,0.500818429136856,1.8615724090962,1.76198565766177,1.96115916053064,0.377485313953123,2.0688406882565,1.03520128924115,3.2420437969789,1.19151252238148,0.842429161936336,1.68524803643867
8,"Eastern Scotian Shelf - east",47,"West Atlantic",45.498,-59.28,0.2858841,39.31947,3.594385,99.3306,0.4111,0.552333175,1.087184343,2.050225,-0.316355933,14.653107,0.179724019446273,8546.84894372062,4075.35857229264,24.5882352941176,1.68024804407365,0.52487651908693,1.98209163638555,1.81194212805604,2.15224114471505,0.237121124439759,2.00159366628177,1.3597368395147,3.33836302387189,1.76841555767601,1.11533928318861,2.80389441290907
9,"Bay of Fundy",46,"West Atlantic",44.121,-66.295,0.2824395,43.5842,4.234089,108.8667,0.4056,0.65692432,0.521791232,6.891375,1.233725762,13.869972,0.189441979641195,11778.9860113851,13074.9704008152,23.4705882352941,1.87003273489782,0.592720445581404,2.11798012659749,1.91009564358952,2.32586460960547,0.312725221809835,1.001977980406,0.575233643308802,2.43952220859066,1.12690988904032,0.656189367959614,1.93530398391799
